ID,Weapon_Name,Country_of_Origin,Manufacturer,Category,Subcategory,Year_Introduced,Year_Retired,Service_Status,Caliber,Action_Type,Effective_Range_m,Max_Range_m,Weight_kg,Length_mm,Barrel_Length_mm,Muzzle_Velocity_mps,Rate_of_Fire_rpm,Magazine_Capacity,Warhead_Weight_kg,Max_Speed_kmh,Crew_Size,Unit_Cost_USD,Num_Operator_Nations,Primary_Users,NATO_Compatible,Generation,Theater_of_Operation,Export_Status,Combat_Proven,Propulsion_Type,Guidance_System,Communication_System,Operating_Environment,Protection_Level,Notes
11,M1A2 SEPv3 Abrams,USA,General Dynamics Land Systems,Armored Vehicle,Main Battle Tank,2020,,Active,120mm M256 smoothbore,N/A - autoloader,4000,8000,66300,9830,,,,,,72,4,8500000,6,USA/Poland/Australia,Yes,4th,Land,Limited Export,Yes,Diesel V-12 AVDS-1790,FLIR thermal,Link 16 datalink,All-terrain,Hard-kill APS (Trophy),Latest Abrams; Trophy APS; improved electronics
12,M2A4 Bradley,USA,BAE Systems,Armored Vehicle,Infantry Fighting Vehicle,1981,,Active,25mm M242 Bushmaster,N/A - manual loading,2000,2500,33700,6553,,,200,,,61,3,4500000,38,US Army,Yes,3rd,Land,Limited Export,Yes,Diesel V-8,Thermal sight,Link 16 datalink,All-terrain,Explosive Reactive Armour (ERA),Primary US IFV; carries 6 troops plus crew
13,M109A7 Paladin,USA,BAE Systems,Artillery,Self-Propelled Howitzer,2015,,Active,155mm/39cal M284,Fully automatic loading,,30000,43153,9930,,,4,,,61,4,9000000,28,US Army/12+ nations,Yes,3rd,Land,Exported,Yes,Diesel V-8,Electro-optical/IR FLIR,Link 16 datalink,All-terrain,Rolled Homogeneous Armour (RHA),Armored SPH; AFAS successor; auto-loader system
14,M142 HIMARS,USA,Lockheed Martin,Artillery,Guided MRL,2005,,Active,227mm MLRS/ATACMS,N/A rocket,,300000,16257,7100,,,,,,96,3,5100000,3,USA/20+ nations,Yes,4th,Land,Exported,Yes,Self-propelled diesel,GPS/INS,Software Defined Radio,All-terrain,No armor,HIMARS; 1-pod vs MLRS 2-pod; famous in Ukraine
15,AIM-120D AMRAAM,USA,Raytheon Technologies,Missile,Air-to-Air BVR Missile,1991,,Active,177mm,Active radar terminal,,180000,152,3650,,,,,18.1,4000,1,1300000,2,USA/40+ nations,Yes,4th,Air,Widely Exported,Yes,Solid rocket motor,Active radar homing,Link 16 datalink,All-terrain,No armor,Beyond Visual Range AAM; backbone Western air combat
16,BGM-109 Tomahawk Block V,USA,Raytheon Technologies,Missile,Land-Attack Cruise Missile,1983,,Active,520mm,GPS/INS/terrain contour,,1600000,1590,6250,,,,,454,890,1,2000000,6,USA/UK,Yes,4th,Sea,Limited Export,Yes,Turbofan,GPS/INS,SATCOM,Multi-environment,No armor,Ship/sub land-attack cruise missile; multi-target Block V
17,F-35A Lightning II,USA,Lockheed Martin,Aircraft,Multirole Fighter,2015,,Active,20mm M61A2 rotary,N/A - fly-by-wire,,2220000,29300,15670,,1900,,,,1960,1,82000000,14,USA/UK/Israel/Japan/Italy/others,Yes,5th,Air,Exported,Yes,Turbofan (Pratt & Whitney F135),Distributed Aperture System,Link 16 datalink,Multi-environment,No armor,Most advanced stealth multirole; 900+ delivered worldwide
18,F-22 Raptor,USA,Lockheed Martin,Aircraft,Air Superiority Fighter,2005,,Active,20mm M61A2 rotary,N/A - FBW quadruplex,,2960000,38000,18920,,1960,,,,2414,1,150000000,15,US Air Force only,Yes,5th,Air,Not Exported,Yes,Turbofan (F119-PW-100),AESA radar,Link 16 datalink,All-terrain,No armor,No export permitted; supercruise Mach 1.82
19,MQ-9 Reaper,USA,General Atomics,UAS,Armed MALE UAS,2007,,Active,Various (Hellfire/GBU),GPS waypoint,,1900000,2223,10969,,,,,,370,0,64000000,33,USA/UK/France/Italy,Yes,4th,Air,Exported,Yes,Turboprop,Multi-spectral EO/IR/SAR,SATCOM,Multi-environment,No armor,"Premier ISR and strike UAS; 14,000+ combat flight hours"
20,Switchblade 600,USA,AeroVironment,UAS,Loitering Munition,2021,,Active,Anti-armor kinetic warhead,Operator-in-loop BLOS,,40000,22.9,,,,,,,160,1,6000,39,US Army/Ukraine,No,4th,Land,Limited Export,Yes,Electric battery,GPS waypoint,Software Defined Radio,All-terrain,No armor,Anti-armor tube-launched loitering munition
21,AK-74M,Russia,Kalashnikov Concern,Small Arm,Assault Rifle,1991,,Active,5.45x39mm,Gas-operated long stroke piston,500,700,3.4,943,415,900,600,30,,,1,300,2,Russian Armed Forces/CIS nations,No,3rd,Land,Widely Exported,Yes,Gas-operated long stroke piston,Iron sights/PSO-1 scope,VHF radio,All-terrain,No armor,Standard Russian service rifle; polymer furniture
22,AK-12,Russia,Kalashnikov Concern,Small Arm,Assault Rifle,2018,,Active,5.45x39mm,Gas-operated long stroke piston,600,800,3.2,940,415,900,700,30,,,1,450,36,Russian Ground Forces,No,4th,Land,Limited Export,Yes,Gas-operated long stroke piston,Thermal + Image intensifier,Software Defined Radio,All-terrain,No armor,Ratnik programme rifle; improved ergonomics over AK-74M
23,SVD Dragunov,Russia,Degtyarev Plant,Small Arm,Sniper Rifle,1963,,Active,7.62x54mmR,Semi-automatic gas,800,1300,4.3,1225,547,830,,10,,,1,3000,13,Russia/50+ nations,No,2nd,Land,Widely Exported,Yes,Semi-automatic gas,Optical scope (PSO-1),VHF radio,All-terrain,No armor,Classic designated marksman rifle; widely copied globally
24,PKM,Russia,Degtyarev Plant,Small Arm,General Purpose Machine Gun,1969,,Active,7.62x54mmR,Gas-operated long stroke piston,1000,1500,7.5,1173,658,825,650,Belt,,,1,2000,42,Russia/70+ nations,No,2nd,Land,Widely Exported,Yes,Gas-operated long stroke piston,Iron sights,VHF radio,All-terrain,No armor,Iconic GPMG; most copied MG platform globally
25,RPG-7V2,Russia,Bazalt,Support Weapon,Rocket Launcher,1961,,Active,40mm tube/85-105mm warhead,Single-shot reloadable,500,920,6.3,953,,115,,1,4.5,,1,500,45,Russia/40+ nations/non-state actors,No,2nd,Land,Widely Exported,Yes,N/A,Iron sights,N/A,All-terrain,No armor,Most produced/used AT rocket; OG-7V anti-personnel round
26,9M133 Kornet,Russia,KBP Tula,Anti-Tank,Laser-Guided ATGM,1994,,Active,152mm,Laser beam riding,100,5500,29.0,1210,,,,1,7.0,,1,30000,35,Russia/Syria/Hezbollah/others,No,3rd,Land,Exported,Yes,Solid rocket motor,Laser beam riding,N/A,All-terrain,No armor,Tandem HEAT; defeated Merkava tanks; also thermobaric
27,9K38 Igla-S,Russia,KBM,Air Defense,MANPADS,2004,,Active,72mm,IR heat-seeking dual-waveband,,6000,19.0,1635,,,,1,2.5,900,1,45000,27,Russia/30+ nations,No,3rd,Land,Exported,Yes,Solid rocket motor,IR homing,IFF Mode 4/5,All-terrain,No armor,Improved ECCM; all-aspect engagement
28,T-90M Proryv,Russia,Uralvagonzavod,Armored Vehicle,Main Battle Tank,2017,,Active,125mm 2A46M-5,N/A - autoloader,4000,5000,48000,9530,,,,,,72,3,4500000,15,Russia/India,No,3rd,Land,Limited Export,Yes,Diesel V-12 (1130hp),FLIR thermal,Encrypted UHF/VHF,All-terrain,Explosive Reactive Armour (ERA),Relikt ERA; Shtora soft-kill APS; Kornet-EM ATGM
29,T-14 Armata,Russia,Uralvagonzavod,Armored Vehicle,Main Battle Tank,2015,,Active,125mm 2A82-1M,N/A - unmanned turret,5000,8000,55000,10800,,,,,,80,3,8000000,29,Russian Ground Forces,No,4th,Land,Not Exported,Yes,Diesel (1500hp A-85-3A),Multi-spectral EO/IR/SAR,Software Defined Radio,All-terrain,Active Protection System,Crew in armored capsule; unmanned turret; Afganit hard APS
30,2S19 MSTA-S,Russia,Uralvagonzavod,Artillery,Self-Propelled Howitzer,1989,,Active,152mm 2A65,Semi-automatic breech,,29000,42000,11917,,,8,,,60,5,3000000,38,Russia/15+ nations,No,3rd,Land,Exported,Yes,Self-propelled diesel,Electro-optical/IR FLIR,Software Defined Radio,All-terrain,Rolled Homogeneous Armour (RHA),Standard Russian SPH; fires Krasnopol laser-guided shells
31,BM-21 Grad,Russia,Splav,Artillery,Multiple Rocket Launcher,1963,,Active,122mm rocket,N/A rocket,,45000,13700,7350,,,,,,90,3,500000,18,Russia/70+ nations,No,2nd,Land,Widely Exported,Yes,Self-propelled diesel,N/A,VHF radio,All-terrain,No armor,Most prolific MRL; 40-tube; cluster/HE/incendiary
32,Iskander-M,Russia,KBM,Missile,Ballistic SRBM,2006,,Active,920mm,Maneuvering reentry vehicle,,500000,3800,7290,,,,,480,2100,2,10000000,1,Russia/Armenia/Algeria,No,4th,Land,Limited Export,Yes,Solid rocket motor,GPS/INS,SATCOM,All-terrain,No armor,CEP 5-7m; maneuvering; used extensively in Ukraine
33,Kalibr 3M54,Russia,OKB Novator,Missile,Land-Attack Cruise Missile,1994,,Active,533mm,INS/TERCOM,,2000000,2300,8220,,,,,450,910,1,6500000,11,Russian Navy,No,3rd,Sea,Limited Export,Yes,Turbofan,GPS/INS,SATCOM,Multi-environment,No armor,Ship/sub-launched; widely used Syria 2015/Ukraine 2022
34,S-400 Triumf,Russia,Almaz-Antey,Air Defense,Long-Range SAM,2007,,Active,Various missiles,Active radar TVM,,400000,,,,,,,,4800,8,1100000000,45,Russia/China/India/Turkey,No,4th,Land,Limited Export,No,N/A,Active radar homing,Encrypted UHF/VHF,All-terrain,No armor,NATO's biggest concern; multiple engagement channels
35,Su-57 Felon,Russia,Sukhoi,Aircraft,Multirole Fighter,2020,,Active,30mm GSh-30-1,N/A - fly-by-wire,,3500000,25000,19800,,2440,,,,2600,1,50000000,28,Russian Aerospace Forces,No,5th,Air,Not Exported yet,Yes,Turbofan (AL-41F1),AESA radar,Link 16 datalink,All-terrain,No armor,Russia's 5th gen; limited production; internal weapons bay
36,Shahed-136 Geran-2,Russia/Iran,HESA/Alabuga,UAS,Loitering Munition,2021,,Active,~50kg blast warhead,GPS waypoint,,2500000,200,3650,,,,,50,185,0,20000,22,Russia (Ukraine conflict)/Iran,No,3rd,Air,Exported,Yes,Piston engine,GPS waypoint,N/A,All-terrain,No armor,Delta-wing; mass-produced; saturates air defenses
37,QBZ-95-1,China,Norinco,Small Arm,Assault Rifle,2010,,Active,5.8x42mm DBP10,Gas-operated long stroke piston,400,600,3.3,746,463,930,650,30,,,1,300,18,PLA/PAP,No,3rd,Land,Not Exported,Yes,Gas-operated long stroke piston,Iron sights/Optical scope,VHF radio,All-terrain,No armor,Standard PLA bullpup; improved over original QBZ-95
38,Type 99A MBT,China,Norinco,Armored Vehicle,Main Battle Tank,2011,,Active,125mm ZPT-98A,N/A - autoloader,4000,6000,58000,11000,,,,,,80,3,6000000,10,PLA (not exported),No,4th,Land,Not Exported,Yes,Diesel V-12 (1500hp),Multi-spectral EO/IR/SAR,Software Defined Radio,All-terrain,Explosive Reactive Armour (ERA),Most capable Chinese MBT; laser dazzler Jiguang-1
39,J-20 Mighty Dragon,China,Chengdu Aircraft Industry,Aircraft,Multirole Fighter,2017,,Active,23mm GSh-23,N/A - fly-by-wire,,2000000,19391,20300,,2100,,,,2000,1,120000000,14,PLAAF,No,5th,Air,Not Exported,No,Turbofan (WS-15),AESA radar,SATCOM,All-terrain,No armor,China's 5th gen; first combat 2017; 200+ in service
40,DF-21D ASBM,China,CASIC,Missile,Anti-Ship Ballistic Missile,2010,,Active,N/A,Maneuvering reentry vehicle,,1800000,,,,,,,600,10000,2,N/A,22,PLA Rocket Force,No,4th,Land,Not Exported,No,Solid rocket motor,Active radar homing,SATCOM,All-terrain,No armor,First ASBM; carrier killer; 1500km range
41,Wing Loong-2,China,CASC,UAS,Armed MALE UAS,2017,,Active,AR-1/AR-2 missiles,GPS waypoint,,2000000,4500,11000,,,,,,370,0,2000000,7,China/UAE/Saudi Arabia/others,No,3rd,Air,Exported,Yes,Turboprop,Multi-spectral EO/IR/SAR,SATCOM,All-terrain,No armor,China's MQ-9 equivalent; widely exported to Middle East/Africa
42,SA80 A3 L85A3,UK,Heckler & Koch,Small Arm,Assault Rifle,2019,,Active,5.56x45mm NATO,Gas-operated short stroke piston,500,800,4.98,785,518,940,750,30,,,1,2500,6,British Army/Royal Marines,Yes,4th,Land,Not Exported,Yes,Gas-operated short stroke piston,SUSAT/ACOG/Elcan,VHF radio,All-terrain,No armor,HK refurbished; gas block improved; reliability fixed
43,NLAW MBT-LAW,UK/Sweden,Saab/Thales,Anti-Tank,Disposable AT Rocket,2009,,Active,150mm,Predicted Line of Sight,20,800,12.5,1016,,,,1,,,1,30000,25,UK/Sweden/Ukraine/30+ nations,Yes,3rd,Land,Exported,Yes,Solid rocket motor,Predicted LOS,N/A,Urban,No armor,Overfly top-attack; single-use; famous Ukraine use 2022
44,Challenger 3,UK,BAE Systems/Rheinmetall,Armored Vehicle,Main Battle Tank,2024,,Active,120mm L55A1 smoothbore,N/A - semi-autoloader,4000,7000,73000,11550,,,,,,72,4,9000000,7,British Army,Yes,4th,Land,Limited Export,Yes,Diesel (Perkins CV12),FLIR thermal,Link 16 datalink,All-terrain,Hard-kill APS (Trophy),Upgraded CR2 with NATO-standard gun; Trophy APS
45,Storm Shadow,UK/France,MBDA,Missile,Land-Attack Cruise Missile,2003,,Active,N/A,GPS/INS,N/A,560000,1300,5100,,,,,450,900,1,3000000,23,UK/France/Italy/UAE/Ukraine,Yes,4th,Air,Exported,Yes,Turbofan,GPS/INS,SATCOM,Multi-environment,No armor,Deep-strike stealth cruise; bunker buster; Ukraine supply
46,Typhoon Tranche 3,UK/Germany/Spain/Italy,Eurofighter GmbH,Aircraft,Multirole Fighter,2013,,Active,27mm Mauser BK-27,N/A - fly-by-wire,,2900000,23500,15550,,2000,,,,2495,1,100000000,23,UK/Germany/Spain/Italy/Kuwait/Qatar,Yes,4.5th,Air,Exported,Yes,Turbofan (EJ200 x2),AESA radar,Link 16 datalink,All-terrain,No armor,Swing-role; Tranche 4 under development; AESA retrofit
47,Caesar NGF SPH,France,Nexter/Knorr-Bremse,Artillery,Wheeled Self-Propelled Howitzer,2003,,Active,155mm/52cal,Semi-automatic breech,,42000,17700,10500,,,6,,,100,3,5000000,39,France/Denmark/Ukraine/Saudi/Morocco,Yes,4th,Land,Exported,Yes,Self-propelled diesel,Electro-optical/IR FLIR,Software Defined Radio,All-terrain,No armor,8x8 wheeled; 6 rounds/min; supplied Ukraine 2022
48,Rafale F4,France,Dassault Aviation,Aircraft,Multirole Fighter,2022,,Active,30mm GIAT 30,N/A - FBW quadruplex,,3700000,24500,15300,,1912,,,,1912,1,95000000,17,France/India/UAE/Greece/Croatia/Indonesia,Yes,4.5th,Air,Exported,Yes,Turbofan (M88-4E x2),AESA radar,Link 16 datalink,All-terrain,No armor,Omnirole; nuclear; SPECTRA EW; 14 nations operators
49,Leopard 2A7+,Germany,Krauss-Maffei Wegmann,Armored Vehicle,Main Battle Tank,2014,,Active,120mm Rheinmetall L55A1,N/A - manual loading,4000,8000,65000,10970,,,,,,72,4,10000000,3,Germany/Norway/Hungary/Qatar/Canada/others,Yes,4th,Land,Exported,Yes,Diesel MTU MB 873,FLIR thermal,Link 16 datalink,All-terrain,Composite + ERA,Widely regarded as world's best MBT; 20+ operators
50,Panzerhaubitze 2000,Germany,Krauss-Maffei Wegmann,Artillery,Self-Propelled Howitzer,1998,,Active,155mm L52,Fully automatic loading,,40000,55330,11669,,,10,,,67,5,6000000,30,Germany/Netherlands/Greece/Italy/Ukraine/others,Yes,4th,Land,Exported,Yes,Self-propelled diesel,Electro-optical/IR FLIR,Link 16 datalink,All-terrain,Rolled Homogeneous Armour (RHA),Highest ROF SPH; 10 rds/min burst; fully automated
51,Merkava IV Barak,Israel,Israeli Military Industries,Armored Vehicle,Main Battle Tank,2023,,Active,120mm MG253,N/A - semi-autoloader,4000,6000,65000,9040,,,,,,64,4,8000000,35,IDF only,No,4th,Land,Not Exported,Yes,Diesel (1500hp),Multi-spectral EO/IR/SAR,Software Defined Radio,Urban,Hard-kill APS (Trophy),Trophy APS standard; AI fire control (Fire Weaver); IDF only
52,Iron Dome,Israel,Rafael/Elbit Systems,Air Defense,Short-Range SAM,2011,,Active,Tamir missile,Active radar TVM,,70000,,,,,,,,,4,50000000,8,Israel/USA/Morocco/Azerbaijan,Yes,4th,Land,Exported,Yes,Solid rocket motor,Active radar homing,Software Defined Radio,All-terrain,No armor,~90% intercept rate; 2000+ successful interceptions
53,Spike LR2,Israel,Rafael Advanced Defence Systems,Anti-Tank,Fire-and-Forget ATGM,2019,,Active,170mm,EO/IIR dual mode seeker,200,5500,26.0,1200,,,,1,,,1,180000,25,Israel/35+ nations,Yes,4th,Land,Widely Exported,Yes,Solid rocket motor,EO/IIR,BFT Blue Force Tracking,All-terrain,No armor,Fire-and-forget; top attack; RF model for NLOS use
54,K2 Black Panther,South Korea,Hyundai Rotem,Armored Vehicle,Main Battle Tank,2014,,Active,120mm CN08,N/A - autoloader,4000,7000,55000,9710,,,,,,70,3,8500000,6,ROK Army/Poland/Norway,No,4th,Land,Exported,No,Diesel (1500hp),FLIR thermal,Link 16 datalink,All-terrain,Explosive Reactive Armour (ERA),Active hydropneumatic suspension; autoloader; APS capable
55,K9 Thunder,South Korea,Hanwha Defence,Artillery,Self-Propelled Howitzer,2000,,Active,155mm L52,Fully automatic loading,,40000,46300,12000,,,6,,,67,5,5000000,36,ROK/India/Norway/Finland/Estonia/Australia/others,Yes,3rd,Land,Widely Exported,Yes,Self-propelled diesel,Electro-optical/IR FLIR,Link 16 datalink,All-terrain,Rolled Homogeneous Armour (RHA),Most exported SPH globally; 11 nations; K10 ARRV partner
56,Bayraktar TB2,Turkey,Baykar Makina,UAS,Armed MALE UAS,2014,,Active,MAM-L/MAM-C/MAM-T,Operator-in-loop BLOS,,150000,650,6500,,,,,22.0,222,0,5000,19,Turkey/Ukraine/20+ nations,No,3rd,Air,Widely Exported,Yes,Piston engine,Multi-spectral EO/IR/SAR,SATCOM,All-terrain,No armor,Changed modern warfare; Nagorno-Karabakh; Ukraine; Libya
57,BrahMos,India/Russia,BrahMos Aerospace,Missile,Supersonic Cruise Missile,2001,,Active,300mm,INS/active radar,,800000,3000,8400,,,,,300,2860,1,2500000,41,India (land/sea/air)/Philippines,No,4th,Land/Sea/Air,Exported,Yes,Ramjet + solid rocket booster,Active radar homing,SATCOM,Multi-environment,No armor,Mach 2.8-3.0; fastest operational cruise missile; joint IN/RU
58,Gripen E,Sweden,Saab AB,Aircraft,Multirole Fighter,2019,,Active,27mm Mauser BK-27,N/A - fly-by-wire,,3000000,14000,14100,,2200,,,,2200,1,85000000,40,Sweden/Brazil/Czech Republic/Hungary,No,4.5th,Air,Exported,Yes,Turbofan (RM16 GE F414G),AESA radar,Link 16 datalink,All-terrain,No armor,Cost-effective 4.5gen; ES-05 Raven AESA; IRST; AAR
59,Neptune R-360,Ukraine,Luch Design Bureau,Missile,Anti-Ship Cruise Missile,2019,,Active,380mm,INS/active radar,,300000,870,5000,,,,,150,900,1,N/A,24,Ukrainian Naval Forces/Ground Forces,No,4th,Land/Sea,Not Exported,Yes,Turbojet,GPS/INS,Software Defined Radio,Littoral,No armor,Sank Russian Black Sea flagship Moskva April 2022
60,NASAMS,Norway/USA,Kongsberg/Raytheon,Air Defense,Medium-Range SAM,1994,,Active,AIM-120 AMRAAM,Active radar homing,,180000,,,,,,,,,4,50000000,37,Norway/USA/Finland/Ukraine/Netherlands/others,Yes,4th,Land,Exported,Yes,Solid rocket motor,Active radar homing,Link 16 datalink,All-terrain,No armor,AMRAAM ground-launched; supplied Ukraine; high intercept rate
61,Bofors Carl Gustav M4,Sweden,Saab Bofors Dynamics,Support Weapon,Recoilless Rifle,2014,,Active,84mm,Recoilless single-shot,700,1000,7.0,1065,,,,1,1.0,,1,25000,13,Sweden/USA/UK/40+ nations,Yes,4th,Land,Widely Exported,Yes,N/A,Iron sights,N/A,All-terrain,No armor,Multipurpose; HEAT/HESH/Smoke/Illum/guided/thermobaric
62,Leopard 1A5,Germany,Krauss-Maffei Wegmann,Armored Vehicle,Main Battle Tank,1987,,Reserve,105mm L7A3 rifled,N/A - manual loading,2000,4000,42400,9543,,,,,,65,4,3000000,5,Germany/Denmark/Brazil/Greece/Turkey/Canada,Yes,2nd,Land,Widely Exported,Yes,Diesel MTU MB 838,Thermal sight,VHF radio,All-terrain,Rolled Homogeneous Armour (RHA),Widely exported Cold War MBT; supplied Ukraine as reserve
63,F-16C Fighting Falcon,USA,General Dynamics/Lockheed,Aircraft,Multirole Fighter,1984,,Active,20mm M61A1,N/A - fly-by-wire,,4200000,19200,15030,,2120,,,,2173,1,35000000,3,USA/25+ nations,Yes,4th,Air,Widely Exported,Yes,Turbofan (F110-GE-129),AESA radar,Link 16 datalink,All-terrain,No armor,Most produced Western fighter; 4600+ built; F-16V Viper latest
64,AN/-235,Bahrain,Armed Forces Ordnance,Special Systems,EOD Robot,1955,,Active,N/A,Directed energy,635720,1099582,10633.45,11334,,,,,,,2,48761749,11,Bahrain + 10 allied nations,No,3rd,Air,Limited Export,No,Mechanical,Optical,Encrypted UHF/VHF,Amphibious,Full spectrum protection,3rd generation EOD Robot; operated by Bahrain; active service; Amphibious optimised
65,L-Flanker,Vietnam,Armed Forces Ordnance,Small Arm,Pistol,1953,,Active,6.5mm Creedmoor,Recoil-operated rotating barrel,1655,2609,10.37,482,310,928,641,104,,,1,211667,8,Vietnam + 7 allied nations,No,3rd,Land,Exported,Yes,Chemical,Unguided,BLOS datalink,All-terrain,Slat/Cage armor,3rd generation Pistol; operated by Vietnam; active service; All-terrain optimised
66,AK-498,Ghana,Armed Forces Ordnance,Small Arm,Submachine Gun,1988,,Active,300 Norma Magnum,Roller-delayed blowback,57,102,21.4,835,,889,618,36,,,1,167784,32,Ghana + 31 allied nations,Yes,2nd,Land,Key Export Product,No,Manual,N/A,SATCOM,Littoral,Steel plate,2nd generation Submachine Gun; operated by Ghana; active service; Littoral optimised
67,PP-498,Bahrain,Ministry Arms Factory,Support Weapon,Anti-Tank Mine Layer,1961,1996,Retired,40x53mm,Recoilless single-shot,10478,15677,119.57,841,1593,258,8,17,353.1,,2,70818,1,Bahrain,Yes,1st,Land,Embargoed,Yes,Electric,N/A,JTIDS,Jungle,Explosive Reactive Armour (ERA),1st generation Anti-Tank Mine Layer; operated by Bahrain; retired service; Jungle optimised
68,S-256,Poland,MESKO,Air Defense,Directed Energy AD,1976,,Testing/Evaluation,127mm,3-channel optical UV/IR/MIR,58610,95595,23355.5,,,,,8,590.5,,2,121239438,22,Poland + 21 allied nations,Yes,3.5th,Land,Not Exported,Limited,Chemical,Semi-active radar,BFT Blue Force Tracking,Arctic/Cold weather,Explosive Reactive Armour (ERA),3.5th generation Directed Energy AD; operated by Poland; testing/evaluation service; Arctic/Cold weather optimised
69,M-52,North Korea,National Defence Industries,Support Weapon,Flamethrower System,1951,2025,Retired,120mm smoothbore recoilless,Muzzle-loaded drop-fire,11121,19952,107.87,1181,,493,32,21,574.4,,5,79593,32,North Korea + 31 allied nations,No,3.5th,Land,Not Exported,Yes,Mechanical,Inertial,VHF radio,Multi-environment,Composite + ERA,3.5th generation Flamethrower System; operated by North Korea; retired service; Multi-environment optimised
